scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
mista/ultra	g2-sub	16	333.627700	7.604900	322.185300	325.467900	327.526033	325.764530	0.539524	539523.546756	16.068662	100.429136	1.018384	1.015236
mista/ultra	g3-wrk	16	331.137300	27.969800	86.239300	103.243400	140.491467	105.149860	0.543581	543581.167087	15.505019	96.906367	1.026043	1.022872
mista/ultra	g4-park	16	371.871500	13.979500	106.124900	118.406800	149.793400	119.589600	0.484038	484038.169099	15.420313	96.376957	0.913652	0.910828
mista/ultra	all	16	348.212400	12.155500	294.888400	308.016000	247.153200	312.102280	0.516926	516925.876276	15.623248	97.645299	0.975729	0.972714
mista/ultra	final	16	331.299400	24.826900	93.192300	111.063000	108.463500	113.021600	0.543315	543315.200692	15.722784	98.267402	1.025541	1.022371
mista/ultra	TBB	16	339.761000	140.614800	280.328700	282.678300	282.787867	282.960580	0.529784	529784.171815	15.414137	96.338358	1.000000	0.996910
mista/ultra	WinTP	16	338.711000	127.193300	229.921600	232.056100	232.860467	232.327980	0.531426	531426.496335	15.774852	98.592824	1.003100	1.000000
satur/alta	oficial	16	47.136700	0.000500	0.000800	0.002400	0.051833	0.019340	3.394383	3394382.720895	11.933377	74.583605	1.671780	2.293063
satur/alta	g1-ring	16	28.715400	0.000400	0.000700	0.001300	0.119833	0.022120	5.571923	5571923.079602	13.059195	81.619967	2.744249	3.764092
satur/alta	g2-sub	16	57.519800	0.000600	0.001000	0.002800	0.106300	0.038750	2.781651	2781650.840232	13.038988	81.493677	1.370001	1.879134
satur/alta	g3-wrk	16	85.252600	0.000500	0.000900	0.002900	0.051033	0.016440	1.876776	1876775.605671	12.115603	75.722517	0.924338	1.267849
satur/alta	g4-park	16	53.721700	0.000500	0.000900	0.002400	0.080667	0.028630	2.978312	2978312.302105	10.470629	65.441432	1.466860	2.011988
satur/alta	all	16	50.842900	0.000400	0.000700	0.001100	0.042400	0.011300	3.146949	3146948.738172	12.029667	75.185417	1.549916	2.125909
satur/alta	final	16	28.112100	0.000400	0.001200	0.002000	0.068867	0.022710	5.691499	5691499.389942	12.366687	77.291794	2.803142	3.844871
satur/alta	TBB	16	78.802200	0.001500	0.004900	0.009700	0.101300	0.040270	2.030400	2030400.166493	15.673509	97.959428	1.000000	1.371629
satur/alta	WinTP	16	108.087400	0.015100	0.048000	0.075700	0.099300	0.091570	1.480284	1480283.548314	3.823177	23.894855	0.729060	1.000000
